games_played,landlord_lv,peasants_lv,win_rate_l,win_rate_p
1234,0,0,0.3622,0.6378
1234,0,1,0.4157,0.5843
1234,0,2,0.5972,0.4028
1234,0,3,0.7285,0.2715
1234,0,4,0.7998,0.2002
1234,0,5,0.9109,0.0891
1234,0,6,0.8752,0.1248
1234,0,7,0.8728,0.1272
1234,0,8,0.8752,0.1248
1234,0,9,0.8679,0.1321
1234,1,0,0.3468,0.6532
1234,1,1,0.3801,0.6199
1234,1,2,0.5227,0.4773
1234,1,3,0.5794,0.4206
1234,1,4,0.6143,0.3857
1234,1,5,0.7690,0.2310
1234,1,6,0.7488,0.2512
1234,1,7,0.7139,0.2861
1234,1,8,0.7464,0.2536
1234,1,9,0.7382,0.2618
1234,2,0,0.2755,0.7245
1234,2,1,0.2828,0.7172
1234,2,2,0.3622,0.6378
1234,2,3,0.4765,0.5235
1234,2,4,0.5373,0.4627
1234,2,5,0.6216,0.3784
1234,2,6,0.6086,0.3914
1234,2,7,0.6207,0.3793
1234,2,8,0.6313,0.3687
1234,2,9,0.6094,0.3906
1234,3,0,0.1969,0.8031
1234,3,1,0.2382,0.7618
1234,3,2,0.3201,0.6799
1234,3,3,0.3947,0.6053
1234,3,4,0.4554,0.5446
1234,3,5,0.5421,0.4579
1234,3,6,0.4895,0.5105
1234,3,7,0.5130,0.4870
1234,3,8,0.5024,0.4976
1234,3,9,0.5154,0.4846
1234,4,0,0.1434,0.8566
1234,4,1,0.1645,0.8355
1234,4,2,0.2626,0.7374
1234,4,3,0.3039,0.6961
1234,4,4,0.3736,0.6264
1234,4,5,0.3687,0.6313
1234,4,6,0.3598,0.6402
1234,4,7,0.3460,0.6540
1234,4,8,0.3630,0.6370
1234,4,9,0.3549,0.6451
1234,5,0,0.0502,0.9498
1234,5,1,0.0827,0.9173
1234,5,2,0.1856,0.8144
1234,5,3,0.2180,0.7820
1234,5,4,0.3622,0.6378
1234,5,5,0.3744,0.6256
1234,5,6,0.2942,0.7058
1234,5,7,0.3266,0.6734
1234,5,8,0.3501,0.6499
1234,5,9,0.3574,0.6426
1234,6,0,0.0989,0.9011
1234,6,1,0.1451,0.8549
1234,6,2,0.2107,0.7893
1234,6,3,0.2626,0.7374
1234,6,4,0.3574,0.6426
1234,6,5,0.4076,0.5924
1234,6,6,0.3687,0.6313
1234,6,7,0.3647,0.6353
1234,6,8,0.3655,0.6345
1234,6,9,0.3582,0.6418
1234,7,0,0.0875,0.9125
1234,7,1,0.1378,0.8622
1234,7,2,0.1815,0.8185
1234,7,3,0.2909,0.7091
1234,7,4,0.4157,0.5843
1234,7,5,0.3963,0.6037
1234,7,6,0.3136,0.6864
1234,7,7,0.3703,0.6297
1234,7,8,0.3898,0.6102
1234,7,9,0.3760,0.6240
1234,8,0,0.0713,0.9287
1234,8,1,0.1256,0.8744
1234,8,2,0.1921,0.8079
1234,8,3,0.2577,0.7423
1234,8,4,0.3598,0.6402
1234,8,5,0.3857,0.6143
1234,8,6,0.3412,0.6588
1234,8,7,0.3120,0.6880
1234,8,8,0.3566,0.6434
1234,8,9,0.3185,0.6815
1234,9,0,0.0754,0.9246
1234,9,1,0.1135,0.8865
1234,9,2,0.2034,0.7966
1234,9,3,0.2747,0.7253
1234,9,4,0.3566,0.6434
1234,9,5,0.3476,0.6524
1234,9,6,0.3169,0.6831
1234,9,7,0.3209,0.6791
1234,9,8,0.3371,0.6629
1234,9,9,0.3404,0.6596
